Year,Race Title,Distance (km)
2003,2003 86thGiro d'Italia,3488.5
2004,2004 87thGiro d'Italia,3423.9
2005,2005 88thGiro d'Italia,3461.15
2006,2006 89thGiro d'Italia,3511.2
2007,2007 90thGiro d'Italia,3490
2008,2008 91stGiro d'Italia,3400.9
2009,2009 92ndGiro d'Italia,3430.4
2010,2010 93rdGiro d'Italia,3462.1
2011,2011 94thGiro d'Italia,3481
2012,2012 95thGiro d'Italia,3502.1
2013,2013 96thGiro d'Italia,3495.8
2014,2014 97thGiro d'Italia,3455.7
2015,2015 98thGiro d'Italia,3502
2016,2016 99thGiro d'Italia,3467.1
2017,2017 100thGiro d'Italia,3612.1
2018,2018 101stGiro d'Italia,3571.9
2019,2019 102ndGiro d'Italia,3546.8
2020,2020 103rdGiro d'Italia,3360.9
2021,2021 104thGiro d'Italia,3410.9
2022,2022 105thGiro d'Italia,3449.6
2023,2023 106thGiro d'Italia,3354.8
2024,2024 107thGiro d'Italia,3317.5
2025,2025 108thGiro d'Italia,3443.3
